0:0:0:0:0:0:0:1 - - [28/Nov/2016:14:58:51 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:15:13:12 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:15:13:12 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:13:47 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:13:47 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3693
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:13:47 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 1800
127.0.0.1 - - [28/Nov/2016:15:14:00 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:14:10 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:14:29 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:14:29 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:14:32 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:14:32 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:14:44 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:14:45 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:14:55 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:14:55 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:15:19:00 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
